Ambil 3 kalimat sesuai dengan nomor kelompok yang anda umumkan di scele (nomor kelompok tidak boleh yang telah dipilih sebelumnya).  idn_treebank_modified.txt,,,,
Kolom id adalah nomor baris kalimat pada korpus idn_treebank_modified.bracket. Sertakan id ini pada hasil dependency parsing ,,,,
,,,,
Kelompok,id,result,,
1,128,Pencarian casting untuk The Hobbit dijadwalkan berlangsung hari Minggu di National Dance and Drama Centre di Wellington .,,
1,3,Beberapa laporan menyebutkan setidaknya 10 monyet ditempatkan di luar arena lomba dan pertandingan di ibukota India.,,
1,4,Pemkot Delhi memiliki 28 monyet dan berencana mendatangkan 10 monyet sejenis dari Rajasthan.,,
2,491,Saya akan bekerja di pemerintah Inggris .,,
2,8,AFP melaporkan stadion tinju dan hockey mendapatkan perhatian khusus karena sering diserbu monyet.,,
2,9,Monyet besar akan dikerahkan di dua stadion untuk mengusir serbuan monyet kecil,,
3,11,Selama bertahun-tahun monyet mengganggu warga Delhi.,,
3,12,Binatang ini menaiki kereta metro dan bahkan berkeliaran di kompleks gedung parlemen.,,
3,13,Belum lama ini kawanan monyet menyerbu kantor dan departemen pertahanan.,,
4,19,Dua miliarder Amerika Bill Gates dan Warren Buffett akan mengadakan jamuan di Beijing bagi sejumlah orang terkaya di Cina.,,
4,20,Gates dan Buffett mengatakan mereka berada di Cina untuk mempelajari kegiatan amal di negara itu.,,
4,21,Banyak orang menduga mereka ingin membujuk para tamu agar lebih banyak menyumbang untuk amal.,,
5,46,Jamrud Bahia dinamakan sesuai lokasi penemuannya di daerah di Brasil memiliki berat 380 kg.,,
5,51,Dia percaya batu itu telah dicuri untuk dijual kembali dengan harga yang lebih mahal.,,
5,56,Jamrud Bahia kemudian dibawa ke Las Vegas untuk dilihat oleh calon pembeli namun disita oleh polisi Los Angeles.,,
6,75,Seorang anggota Parlemen Eropa asal Italia menghadiri sidang parlemen di Strasbourg dengan menggendong anak bayinya.,,
6,76,Licia Ronzulli mengatakan ia ingin menunjukkan beratnya beban yang ditanggung kaum perempuan untuk menjalani karir sekaligus mengasuh anak.,,
6,77,Para anggota parlemen sedang membahas usul untuk memperbaiki hak maupun kesempatan bagi perempuan untuk bekerja.,,
7,104,Akademi Kerajaan Spanyol mengundang orang di seluruh dunia untuk merekam segmen dari novel klasik Don Quixote dan mengunggahnya ke YouTube.,,
7,105,Karya Miguel de Cervantes ini sering disebut sebagai novel Spanyol yang paling populer walau tak banyak yang pernah membacanya.,,
7,107,Segmen-segmen itu akan dibaca dan kemudian direkam hanya dalam bahasa Spanyol oleh sukarelawan dan diunggah di halaman khusus YouTube.,,
8,139,Cavaille menambahkan bahwa kawanan pencuri jelas sangat profesional dan tak akan kesulitan menjual anggur curian itu.,,
